doc_id	text	label
1r2mm4c	Interview assignment/homework dilemma	cybersecurity
1r2mfz3	How a single unpatched SAP flaw cost JLR £1.9B and halted 5 countries of production in late 2025.	cybersecurity
1r2m4sp	AI helps scam centres evade crackdown in Asia, dupe more victims	cybersecurity
1r2m2o9	Anyone moved off KnowBe4 to Docebo + HoxHunt (or Vibre)? Thoughts?	cybersecurity
1r2m1fo	Senior security leader looking for cert recommendations — what’s actually worth it?	cybersecurity
1r2kn4a	Help on Auto Combining Multiple Detection Rules to filter in True Positive events	cybersecurity
1r2jf1i	Any CyberSec/Hacking Convention in the Western Side of the World?	cybersecurity
1r2hjv9	Is email spoofing dead?	cybersecurity
1r2gwif	My own C2 lab - SSE solution validation	cybersecurity
1r2gcma	Mid-career IT audit / technology risk professional — confused about what to learn next and looking for direction	cybersecurity
1r2gb85	Moving from Data Engineering to Cybersecurity	cybersecurity
1r2g9c1	[Academic] Measuring the Increased Risk to Information Systems Due to Micromanagement-Related Stress (IT Professionals, all locations, 18+)	cybersecurity
1r2g6vs	What difference does the ring ad make?	cybersecurity
1r2e2my	Authentication Overload	cybersecurity
1r2dml1	Live Response - The certificate chain was issued by an authority that is not trusted	cybersecurity
1r2busw	Cyber security clearance with an E class felony?	cybersecurity
1r2bcu3	The US sanctioned NSO Group while Salt Typhoon was living inside American telecom networks for months undetected. Are we focused on the wrong threat?	cybersecurity
1r1sdu8	OpenClaw is spreading fast on corporate endpoints. We built a tool to hunt and neutralize it.	cybersecurity
1r1m99r	Has anyone heard of or works for, Secure IT?	cybersecurity
1r1m76n	Antivirus/EDR on Pentest Laptops?	cybersecurity
1r1jjob	Cybersecurity Professionals Needed for Android Malware Detection Research (Academic Study)	cybersecurity
1r1iuew	What's the actual risk of typosquatting attacks in 2026?	cybersecurity
1r1ijan	Cyber security birthday gift	cybersecurity
1r1h51x	Fresh cybersecurity graduate offered solo IT role to build full infrastructure from scratch, good experience or bad move?	cybersecurity
1r1gp7v	Knowbe4 VS Adaptive Security	cybersecurity
1r1f28g	RSAC Releases Quantickle Open Source Threat Intelligence Visualization Tool	cybersecurity
1r1e8tm	OSEP vs MaldevAcademy	cybersecurity
1r1djri	Server identified as an attack source	cybersecurity
1r1cug5	WordPress sites keep reinfecting + passwords changing even with cPanel & WHM 2FA enabled. What am I missing?	cybersecurity
1r1cctp	Security analysts, what's your biggest time sink outside actual security work?	cybersecurity
1r1c61l	GitHub repo demonstrating POCs	cybersecurity
1r1bdt4	Cybersecurity statistics of the week (February 2nd - February 8th)	cybersecurity
1r1aav9	Is CCSP even valuable?	cybersecurity
1r19w6m	ADHD, organization, and attention to detail	cybersecurity
1r19a5o	Threat modeling essentials for first time	cybersecurity
1r18yd6	Cheval de Troie/rat piratage	cybersecurity
1r17qv0	LOTUSLITE: Targeted espionage leveraging geopolitical themes	cybersecurity
1r17b1z	Patching openssl yet vunerable	cybersecurity
1r17ai3	Manipulating AI memory for profit: AI Recommendation Poisoning actively being exploited | Microsoft Security	cybersecurity
1r171sj	Beyond VMware & Virtual Box	cybersecurity
1r16yb4	135,000+ OpenClaw instances exposed to the internet, 63% vulnerable, and the fix they just announced isn't going to cut it	cybersecurity
1r15fdo	Libreboot, or regular AMD laptop?	cybersecurity
1r1544n	Software engineer branching into AppSec - what courses should I be looking into?	cybersecurity
1r150g6	I built a browser extension that warns you when a website's domain was registered recently	cybersecurity
1r14l0x	Just need some guidance and wisdom.	cybersecurity
1r14bqy	Towards a British Approach to Cyber Campaigning	cybersecurity
1r13d86	Built PAM for 80+ platforms at a Global bank for 7 years. Contract ended, job is done. Is it worth building a tool, or am I in a bubble?	cybersecurity
1r138cb	Russia once again moves to restrict Telegram	cybersecurity
1r1304r	Privacy implications of using a shared ESET HOME seat from a 3rd party?	cybersecurity
1r12pqo	I need help I have last stage of interview left (and its a case interview)	cybersecurity
1r12lve	Python as a new programming language - where to start?	cybersecurity
1r12g9w	cvewatch - Query CVE from Terminal	cybersecurity
1r11qks	CVE-2025-8088 Exploitation Used to Deploy Amaranth Loader and Havoc Framework	cybersecurity
1r11drv	Avoid off-shoring cyber testing	cybersecurity
1r106nd	ZeroDayRAT malware grants full access to Android, iOS devices	cybersecurity
1r0zdfb	Project or Product Management roles in Cybersecurity?	cybersecurity
1r0z7cp	Any opensource automated pentesting tools that could pentest authenticated sessions?	cybersecurity
1r0y61w	Lateral Movement Techniques	cybersecurity
1r0xzcg	40,000+ AI Agents Exposed to the Internet with Full System Access	cybersecurity
1r0xqk7	Quick IAM fundamentals knowledge check for security practitioners	cybersecurity
1r0xnzf	Zero Trust Gap Assessment	cybersecurity
1r0wvwm	How to decode stuff that isn’t decoding?	cybersecurity
1r0w1hn	Is it even a valid task for my job	cybersecurity
1r0vlhh	PassForge v1.0.5 – Privacy-Hardened CLI Credential Toolkit (AES Vault, Balanced Mode, Entropy Fixes)	cybersecurity
1r0vi80	Joining Army or AF Cyber Warfare - security clearance question	cybersecurity
1r0vaow	Consigli libri su cybersecurity IoT/embedded e percorso verso security architect	cybersecurity
1r0tw00	Breaking into binary security roles (catch-22 situation)	cybersecurity
1r0r2in	Landing a cybersecurity job	cybersecurity
1r0r1cy	Question for practitioners: building small networking tools for coursework	cybersecurity
1r0q6oq	Andrew Morris finds iOS AdGuard is written by Russians and injects 20K lines into your browser	cybersecurity
1r0ploc	Advice on Career Path - Team Lead or Security Engineer	cybersecurity
1r0pdea	I am trying to create a SAAS tool that requires uses payment. Can anyone tell me what I need to invest in to keep my users data secure	cybersecurity
1r0ns0m	What made you pick your specific field?	cybersecurity
1r0nrqt	Fixed Shadow IT SaaS Visibility but I may have "accidentally" built an ICES...	cybersecurity
1r0mzt2	Detection Engineers, What’s your actual ratio of "Studying System Behavior" vs. "Building Rules"?	cybersecurity
1r0l8om	Do smart locks have any inherent security issues?	cybersecurity
1r0k9mg	Is Malware Research realistic?	cybersecurity
1r0jnqp	We scanned 8,000+ MCP servers... now adding private repo security scanning	cybersecurity
1r0j8tn	IOC correlation in Splunk (OpenCTI + KV Store)	cybersecurity
1r0i1i2	Anyone doing any openclaw hunts?	cybersecurity
1r0ht3a	Need help for DLP interview prep!	cybersecurity
1r0haq8	Open-sourced an LLM security scanner with 210+ adversarial probes.	cybersecurity
1r0ha2o	Repost Warning: Active Phishing Campaign on Printables.com targeting Blender users (Malicious .blend files)	cybersecurity
1r0gzx3	How much of upskilling	cybersecurity
1r0gg8q	Microsoft Account Hacked	cybersecurity
1r0flgb	In your opinion, has cybersecurity changed much since 2021?	cybersecurity
1r0dago	CTI and Military Background	cybersecurity
1r0cjkw	Mindset and Soft Skills	cybersecurity
1r0c99w	Any Cybersecurity events ?	cybersecurity
1r0bxe2	Which AI should i use to learn?	cybersecurity
1r0bpl6	I built a small deterministic tool for artifact change evidence	cybersecurity
1r0bhxu	AI Impact on Digital Trust: Academic Survey	cybersecurity
1r0bf91	Openclaw's whole pitch: "Your infrastructure. Your keys. Your data."	cybersecurity
1r0anhb	Opinion on discord new Age verification update? after a huge data breach	cybersecurity
1r0ajvr	I Signed Up for AI.com After its Super Bowl Ad. Then I Read Its Alarming Privacy Policy	cybersecurity
1r09pb3	Ultimate "Burner" Browser Setup: Running Kasm on ZimaBoard 2 (No Lag!)	cybersecurity
1r09aae	what note taking apps do you use and how	cybersecurity
1r07kc0	Do data breaches actually have physical, real life consequences? Companies are implementing age assurances, but there is no guarantee of privacy or security	cybersecurity
1r074wl	ClickFix access broker campaign hits Windows with Python-driven backdoors	cybersecurity
1r06oro	Sleeper Shells: Attackers Are Planting Dormant Backdoors in Ivanti EPMM	cybersecurity
1r06elq	Started independent - are schools worth it ? How is it different ?	cybersecurity
1r05v4k	I built an open-source AI agent that runs pentest autonomously, looking for feedback from actual security people	cybersecurity
1r05bzl	India Reveals National Plan for Quantum-Safe Security	cybersecurity
1r03ia9	I run an AI agent skill marketplace and honestly the state of security across this space is terrifying	cybersecurity
1r03hfb	Pós-graduação em Cibersegurança	cybersecurity
1r03ez4	Latest Cybersecurity News of the Week Summarised (09/02/2026)	cybersecurity
1r02s3y	Best Stable Linux OS for Cyber security(Red teaming)	cybersecurity
1r02bbs	Open-source tool to monitor and control what your AI agents are sending to LLM APIs	cybersecurity
1r01bhc	Conduent data breach might have been much worse than initially expected	cybersecurity
1r017p7	ISO 42001: Is it time to leave the SOC 2/27001 hamster wheel?	cybersecurity
1r017bv	European Commission discloses breach that exposed staff data	cybersecurity
1r0113f	Hackers Are Impersonating Security Tools to Hack Security Professionals	cybersecurity
1r00wbz	Is anyone else feeling the "2026 Shift"? is it the end of pentesting?	cybersecurity
1r00pjj	WEB-RTA of cyberwarefareLab	cybersecurity
1qzzz4x	We rebooted Open Security Architecture after 15 years dormant -- 39 security patterns with free self-assessments	cybersecurity
1qzymhm	Can I pass the OSDA exam if I’ve completed all the challenge labs?	cybersecurity
1qzybb6	Building a CobaltStrike AggressorScript Bridge for Any Language	cybersecurity
1qzx89w	Babuk Locker 2.0 Reality Check	cybersecurity
1qzu7z8	taking a look under the hood of "WormGPT"	cybersecurity
1qzrxv2	Blockchain in a Box (Dockerized Crypto Nodes for the Classroom)	cybersecurity
1qzrase	When AI Agents Go Rogue: The Approval Fatigue Problem Nobody’s Solving	cybersecurity
1qzp0vu	Mentorship Monday - Post All Career, Education and Job questions here!	cybersecurity
1qzorgc	Where can I develop further to entry or mid-tier	cybersecurity
1qzme2v	One way to bypass VirusTotal scanning in ClawHub/OpenClaw	cybersecurity
1qzm9i2	Palo Alto XSIAM feedback request	cybersecurity
1qzm8rd	I wrote my own Open Source C2 Framework, what do I do with it now?	cybersecurity
1qzkz6i	Roundcube Webmail: SVG feImage bypasses image blocking to track email opens	cybersecurity
1qzint4	Good resources for learning NIST CSF 2.0	cybersecurity
1qzh34z	Where does “DevSecOps” fit in to the industry?	cybersecurity
1qzh1qg	Vouch: earn the right to submit a pull request	cybersecurity
1qzefj4	I came up with a stupid, expensive, and overcomplicated (but theoretically working) way to avoid prompt injections	cybersecurity
1qzcscd	PECB ISA/IEC 62443 Lead Implementer	cybersecurity
1qzbeuf	trappsec: an open-source framework for API deception	cybersecurity
1qzbbwe	Have I committed a criminal offense?	cybersecurity
1qz9ygb	We didn't want to send our security data to a 3rd party cloud, so we built a self-hosted SOAR (Apache 2.0)	cybersecurity
1qz96gy	Building a tool to turn mobile screen recordings into structured forensic data — looking for feedback	cybersecurity
1qz6u6l	Built a small AI-focused security scan for code before prod — looking for honest feedback	cybersecurity
1qz5s3f	Cybersec awareness - tokens/gifts?	cybersecurity
1qz5p54	Is this a good entry level "course"?	cybersecurity
1qz3tkq	Feeble attempt of mine to create a security skill for OpenClaw	cybersecurity
1qz3qc0	Certified CyberDefender (CCD) vs SANS	cybersecurity
1qz3ae1	Why is there no juiced up brother for flipper zero yet ?	cybersecurity
1qz1mzj	Why is the standard of US Red Teams so poor	cybersecurity
1qyxd9t	Table of 2FA strength	cybersecurity
1qyw9q9	App Security/ Blue Team	cybersecurity
1qyvdk1	Which WiFi adapter is best for WiFi pentesting and auditing?	cybersecurity
1qyvboa	Open source hardened container images - a solution	cybersecurity
1qytxs0	Seeking community feedback : Building AWS-Perimeter - AWS Security Scanner	cybersecurity
1qytly2	Is cybersecurity software buying mostly top-down?	cybersecurity
1qysfi4	Feeling unfulfilled as a new grad	cybersecurity
1qys16c	ISC2.org Insight Report on 2025 Cybersecurity Hiring Trends	cybersecurity
1qyr28m	Weighing historical geopolitical ties in vendor security assessments for sensitive data	cybersecurity
1qyqqml	State actor targets 155 countries in 'Shadow Campaigns' espionage op	cybersecurity
1qyq56d	Question from Returning Pro	cybersecurity
1qyohu8	Experience with IR tabletop for non technical audience?	cybersecurity
1qyo4jy	Cybersecurity as a hobby	cybersecurity
1qyn1ow	Will application security become more valuable with the rise of vibe coding or will it become automated away like a lot of SDE jobs?	cybersecurity
1qykqeh	Claude Opus Finds more than 500 High Severity Vulnerabilities in OpenSource Codebases	cybersecurity
1qykbsn	For pentester: how much time it took you to start solving CTFs?	cybersecurity
1qyimj1	Interview question to bring devs on board	cybersecurity
1qyi32i	WAF Product Suggestions	cybersecurity
1qyhkkz	Shift burnout is real	cybersecurity
1qydx10	I’m looking for recommendations on a cheap but solid endpoint security solution for individual users and very small businesses (1–10 employees).	cybersecurity
1qyapbi	AppSecMaster JWT challenge writeup	cybersecurity
1qy9y6z	CTO at NCSC Summary: week ending February 8th	cybersecurity
1qy9p41	Is this a vulnerability ?	cybersecurity
1qy9ok4	where can i report 0 day vulnerabilities	cybersecurity
1qy8rg1	For those who’ve landed jobs in cybersecurity, what made you stand out to get hired?	cybersecurity
1qy8fha	What are your thoughts on autonomous AI pentesting tools?	cybersecurity
1qy7roz	The quantum era is coming. Are we ready to secure it?	cybersecurity
1qy663e	Building a new Intrusion Prevention System, would love community feedback	cybersecurity
1qy5rss	What was the "smoking gun" that led you to discover a major breach that everyone else had missed?	cybersecurity
1qy0511	Analysis of active exploitation of SolarWinds Web Help Desk	cybersecurity
1qxxpjv	CISSP and future of SOX roles	cybersecurity
1qxwht7	Ransomware, to pay or not to pay, that really is the question.	cybersecurity
1qxwc3e	Can malware directly manipulate Windows Event Logs or Sysmon to stay "invisible"?	cybersecurity
1qxu24s	Regarding jmai' safety level	cybersecurity
1qxtkxf	GRC tool limitations	cybersecurity
1qxr6j6	Princeton PExL Program Files Exposed in Open Google Cloud Storage	cybersecurity
1qxqwv0	Hoyoverse.com subdomains and hidden URLs and scan reports	cybersecurity
1qxqkvf	How do you get better at network and security topology diagrams, plus HLDs?	cybersecurity
1qxq5j0	Google Cybersecurity Certificate portfolio question	cybersecurity
1qxodbh	Students going into Cyber save yourself	cybersecurity
1qxo0am	How Much Do Cybersecurity Analysts Earn by City in 2026?	cybersecurity
1qxny34	In today's episode of "AI will make tech people unemployed by the end of 2025": The most downloaded Clawdbot/OpenClaw skill is AmosStealer macOS malware	cybersecurity
1qxnpjh	Cybersecurity statistics of the week (January 26th - January 30th)	cybersecurity
1qxmyy8	I'm just a beginner in cybersecurity looking for insights	cybersecurity
1qxmwll	I'm a high school student and I built an open-source SAST tool to catch API leaks in Python code.	cybersecurity
1qxmbds	Network Security- uninspectable protocols	cybersecurity
1qxjyy4	Trying to (moderately) level up OpenClaw with credential isolation	cybersecurity
1qxjuac	State-backed phishing attacks targeting military officials and journalists on Signal	cybersecurity
1qxjg9q	Best way to manage a full pentest process in a structured workflow?	cybersecurity
1qxj4ww	After CDSA can I go straigth to GCFA (FOR508) rather than having to take GCIH( (SEC504)	cybersecurity
1qxj3em	How appealing is C proficiency?	cybersecurity
1qxi2m9	Seeking advice on a secure malware analysis lab setup and transfer workflow	cybersecurity
1qxhvw7	Best vulnerability management book to read right now?	cybersecurity
1qxhg55	Marketing tools have more access to prod than most engineers. How do you secure against this?	cybersecurity
1qxgam4	Moltbook perfectly reveals the state of security of vibe coded apps	cybersecurity
1qxg87l	New Clickfix variant ‘CrashFix’ deploying Python RAT	cybersecurity
1qxg6st	Trying to build a control-centric compliance model (ICM/SCF)...feels massive. Am I overthinking this?	cybersecurity
1qxfz58	Cloud security is confusing me, could someone explain it?	cybersecurity
1qxfha4	Taking a detour in my quest to be a cyber analyst(IR or Threat hunting) into network operations and engineering.	cybersecurity
1qxffnz	Screaming at the Kernel: How GhostKatz Uses "Vulnerable Drivers" to Dump Credentials via Physical Memory	cybersecurity
1qxfe3e	Can I block a particular pincode/area from visiting my website?	cybersecurity
1qxe4ou	Security automation shouldn't cost $50k. We built an open-source alternative.	cybersecurity
1qxe1ea	CrowdStrike vs SentinelOne	cybersecurity
1qxbqz0	“Developers lack knowledge to implement secure software development”	cybersecurity
1qxb8ar	Memory Poisoning Vulnerability demonstration	cybersecurity
1qx6pfh	Soc level 1 whats next?	cybersecurity
1qx6gci	How was the US Government able to track down someone through just 4chan posts?	cybersecurity
1qx5ew4	Can files be protected AFTER ransomware starts running?	cybersecurity
1qx0spi	Self-learning Cyber Security	cybersecurity
1qx0gi7	Anyone affected by the recent SmarterMail CVE's?	cybersecurity
1qwyfo2	Is it too late to start?	cybersecurity
1qwycxd	[Experiment] Cryptographic Pre-Registration of Cybersecurity Event Prediction (Feb 12-18)	cybersecurity
1qwxtp7	TCM Security retiring certification bundles	cybersecurity
1qwxgg1	Can Chromebooks really be hacked?	cybersecurity
1qwwcvx	Starting a project for secure mobile device	cybersecurity
1qwwc4o	nono – Kernel-enforced sandboxing for AI agents	cybersecurity
1qww2xo	CISA BOD 26-02: Mitigating Risk From End-of-Support Edge Devices	cybersecurity
1qwvpng	Best way to safely open files from unknown sources on a Mac?	cybersecurity
1qwvfh1	Security Advisory: OpenClaw is spilling over to enterprise networks	cybersecurity
1qwvc6k	Email security consulting - good idea?	cybersecurity
1qwvb38	anyone cracked faster investigations? detecting is fine	cybersecurity
1qwu5m6	The AI Agent/ Lobster Emoji Bubble	cybersecurity
1qwt4xi	Displaying home labs/projects - any tips?	cybersecurity
1qwsisi	From where To Take Start In Cyber security	cybersecurity
1qws0ug	Beyond Phishing Clicks: Why Employees Need Cybersecurity Foundations	cybersecurity
1qwrwsh	OpenClaw is terrifying and the ClawHub ecosystem is already full of malware	cybersecurity
1qwrifz	Build-time String Encryption for Position-Independent Code	cybersecurity
1qwrdi7	What major to choose ?	cybersecurity
1qwr0fc	Lockdown Mode prevented FBI from getting into reporter’s iPhone	cybersecurity
1qwqd2d	Phishing emails are going crazy lately	cybersecurity
1qwp8tw	Cyberattacks and Behavior Manipulation	cybersecurity
1qworah	Since this sub is full of dark perspectives about the state of the industry, could you share some good parts about being in cybersecurity? Any success stories, ways your current role made your life better compared to your previous jobs?	cybersecurity
1qwog7i	Nitrogen can't unlock its own ransomware after coding error	cybersecurity
1qwocww	New Amaranth Dragon cyberespionage group exploits WinRAR flaw	cybersecurity
1qwo8ip	n8n CVE-2025-68613 and CVE-2026-25049: Critical RCE Vulnerabilities	cybersecurity
1qwnszr	Recreating uncensored Epstein PDFs from leaked raw base64-encoded data	cybersecurity
1qwnmna	Tulare City schools probe network incident; extortion claim	cybersecurity
1qwndd5	SANS 2026 in Orlando Mar 29 to Apr 3	cybersecurity
1qwmswn	I’m Ross McKerchar, CISO at Sophos: AMA on tackling the issue of detecting fraudulent remote IT hires and building workable controls.	cybersecurity
1qwmdqz	Malicious Infrastructure Campaigns: How Unrest in Iran is Being Weaponized Online	cybersecurity
1qwmapw	The Shadow Campaigns: Uncovering Global Espionage	cybersecurity
1qwlur2	Putting together a checklist for safe AI agent use. Please help improve it!	cybersecurity
1qwl5sg	Yara-X + PacketSmith Detection Module	cybersecurity
1qwl0wt	Threat Intel Platforms?	cybersecurity
1qwjxgz	Career switch from SAP Security to IAM or AppSec	cybersecurity
1qwj3r4	Data breach at fintech firm Betterment exposes 1.4 million accounts	cybersecurity
1qwijpp	From Scripts to Systems: What OpenClaw and Moltbook Reveal About AI Agents	cybersecurity
1qwh790	Vulnerability scanner for new web application	cybersecurity
1qwgyxx	Microsoft Defender XDR now automatically tunes low-severity alerts	cybersecurity
1qwgv9h	New CentOS UAF to LPE vulnerability	cybersecurity
1qwfvbv	How are security teams budgeting for AI-related solutions like readteaming, Shadow AI, runtime security?	cybersecurity
1qwflvh	What do you guys use for automation? We built an open-source tool to replace our scripts.	cybersecurity
1qweymk	The Biggest Shifts in OWASP Top 10 2025	cybersecurity
1qweeq4	Is cybersecurity a good fit if you’re not strong in verbal communication?	cybersecurity
1qweaj9	CVE-2025-11730: Remote Code Execution via DDNS configuration in ZYXEL ATP/USG Series (V5.41)	cybersecurity
1qwd2kq	Engaging activites for an Intro To Cybersecurity event? Help me come up with some pls🙏	cybersecurity
1qwb1a0	How long until we see a major AI-related data breach?	cybersecurity
1qwaddq	Securing Clawdbot and AI Agents	cybersecurity
1qw7mfr	Looking to hire White Hat / Pen Tester - can anyone suggest a reputable company?	cybersecurity
1qw60qi	Do hackathons look good on LinkedIn?	cybersecurity
1qw251o	Pivotal Decision, or just keep grinding?	cybersecurity
1qw1i06	Clawdbot Security Finder	cybersecurity
1qw1eyf	Salami attack sa pinas	cybersecurity
1qw1eoz	3rd round interview for a security operations analyst role. Need advice.	cybersecurity
1qw11gs	C2 ip inside a phishing email	cybersecurity
1qw0l50	How do people handle sensitive data in workflows like this? Has anyone tried using a self-hosted or open-source AI so confidential info never leaves their environment but the AI can still execute reliably?	cybersecurity
1qvz0pk	SWG ForcePoint vs FortiProxy	cybersecurity
1qvy9gd	Quantum computers could break Dutch encryption by 2030, Court of Audit warns	cybersecurity
1qvw8a7	How a Single Quote Broke Markdown’s Safety Assumptions	cybersecurity
